statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR130;Gütersloh I;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR130;Gütersloh I;STAZG1;Staatsangehörigkeit;;Insgesamt;322400;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR233;Schwandorf;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;8,3;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR233;Schwandorf;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;23418;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR069;Magdeburg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;9,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR069;Magdeburg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;29148;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR012;Schwerin - LL-Parchim I - Nordwestmecklenburg I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;6,3;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR012;Schwerin - LL-Parchim I - Nordwestmecklenburg I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;16919;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR187;Bergstraße;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR187;Bergstraße;STAZG1;Staatsangehörigkeit;;Insgesamt;271617;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR132;Herford - Minden-Lübbecke II;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR132;Herford - Minden-Lübbecke II;STAZG1;Staatsangehörigkeit;;Insgesamt;304402;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR175;Hochtaunus;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;85,1;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR175;Hochtaunus;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;215964;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR120;Recklinghausen I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;87,5;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR120;Recklinghausen I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;190190;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR278;Bruchsal - Schwetzingen;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR278;Bruchsal - Schwetzingen;STAZG1;Staatsangehörigkeit;;Insgesamt;276577;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR059;Märkisch-Oderland - Barnim II;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR059;Märkisch-Oderland - Barnim II;STAZG1;Staatsangehörigkeit;;Insgesamt;283431;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR272;Karlsruhe-Land;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;14,1;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR272;Karlsruhe-Land;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;40910;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR047;Hannover-Land II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;88,8;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR047;Hannover-Land II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;277565;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR094;Köln III;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR094;Köln III;STAZG1;Staatsangehörigkeit;;Insgesamt;291119;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR105;Düsseldorf I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;22,5;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR105;Düsseldorf I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;73556;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR140;Herne - Bochum II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;16,8;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR140;Herne - Bochum II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;40407;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR181;Frankfurt am Main I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;31,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR181;Frankfurt am Main I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;116224;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR266;Neckar-Zaber;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;84,1;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR266;Neckar-Zaber;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;275204;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR223;Starnberg - Landsberg am Lech;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR223;Starnberg - Landsberg am Lech;STAZG1;Staatsangehörigkeit;;Insgesamt;297308;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR136;Paderborn;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;89,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR136;Paderborn;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;280668;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR049;Salzgitter - Wolfenbüttel;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;88,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR049;Salzgitter - Wolfenbüttel;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;233470;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR185;Darmstadt;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR185;Darmstadt;STAZG1;Staatsangehörigkeit;;Insgesamt;353909;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR090;Rhein-Erft-Kreis I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;14,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR090;Rhein-Erft-Kreis I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;47877;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR098;Oberbergischer Kreis;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR098;Oberbergischer Kreis;STAZG1;Staatsangehörigkeit;;Insgesamt;272744;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR225;Weilheim;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR225;Weilheim;STAZG1;Staatsangehörigkeit;;Insgesamt;225798;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR171;Lahn-Dill;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR171;Lahn-Dill;STAZG1;Staatsangehörigkeit;;Insgesamt;273857;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR006;Plön - Neumünster;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;92,4;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR006;Plön - Neumünster;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;204491;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR082;Berlin-Friedrichshain-Kreuzberg - Prenzl. Berg Ost;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;75,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR082;Berlin-Friedrichshain-Kreuzberg - Prenzl. Berg Ost;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;254487;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR067;Börde - Salzlandkreis;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;3,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR067;Börde - Salzlandkreis;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;10301;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR101;Wuppertal I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;22,4;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR101;Wuppertal I;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;70423;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR014;Rostock - Landkreis Rostock II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;5,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR014;Rostock - Landkreis Rostock II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;15115;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR229;Rottal-Inn;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;88,5;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR229;Rottal-Inn;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;203803;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR270;Aalen - Heidenheim;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;13,5;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR270;Aalen - Heidenheim;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;41150;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR092;Köln I;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR092;Köln I;STAZG1;Staatsangehörigkeit;;Insgesamt;278998;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR057;Uckermark - Barnim I;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR057;Uckermark - Barnim I;STAZG1;Staatsangehörigkeit;;Insgesamt;220874;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR008;Segeberg - Stormarn-Mitte;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;91,4;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR008;Segeberg - Stormarn-Mitte;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;294709;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR264;Waiblingen;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;83,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR264;Waiblingen;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;272967;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR002;Nordfriesland - Dithmarschen Nord;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR002;Nordfriesland - Dithmarschen Nord;STAZG1;Staatsangehörigkeit;;Insgesamt;237047;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR177;Rheingau-Taunus - Limburg;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;86,8;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR177;Rheingau-Taunus - Limburg;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;257996;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR250;Würzburg;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;89,8;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR250;Würzburg;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;261532;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR235;Bamberg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;9,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR235;Bamberg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;22747;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR239;Kulmbach;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR239;Kulmbach;STAZG1;Staatsangehörigkeit;;Insgesamt;209937;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR016;Mecklenburgische Seenpl. I - Vorp.-Greifswald II;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR016;Mecklenburgische Seenpl. I - Vorp.-Greifswald II;STAZG1;Staatsangehörigkeit;;Insgesamt;255952;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR249;Schweinfurt;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;11,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR249;Schweinfurt;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;28418;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR197;Ahrweiler;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;9,2;%;PRS018;Personen;e
